"exposure_model","term","estimate","std_error","statistic","df","p_value","conf_low","conf_high"
"HGS_MAX___dairy_guidelines_port__categorical______main_coefs","(Intercept)",23.068,0.467,49.356,1580,"<0.001",22.151,23.985
"HGS_MAX___dairy_guidelines_port__categorical______main_coefs","dairy_guidelines_port>= 2 servings/day",0.047,0.273,0.171,1710.5,"0.864",-0.488,0.582
"HGS_MAX___dairy_guidelines_port__categorical______main_coefs","time_since_baseline",-0.143,0.022,-6.377,2456.4,"<0.001",-0.187,-0.099
"HGS_MAX___dairy_guidelines_port__categorical______main_coefs","age_at_baseline_scaled",-2.92,0.189,-15.426,2976.6,"<0.001",-3.291,-2.549
"HGS_MAX___dairy_guidelines_port__categorical______main_coefs","BMI_categoryUnderweight",-1.671,0.767,-2.18,2834.1,"0.029",-3.174,-0.168
"HGS_MAX___dairy_guidelines_port__categorical______main_coefs","BMI_categoryOverweight",0.648,0.247,2.622,2005.2,"0.009",0.163,1.133
"HGS_MAX___dairy_guidelines_port__categorical______main_coefs","BMI_categoryObese",0.105,0.351,0.3,2469.9,"0.764",-0.583,0.794
"HGS_MAX___dairy_guidelines_port__categorical______main_coefs","education_levelMedium (ISCED 3-4)",0.968,0.364,2.66,2744.1,"0.008",0.254,1.682
"HGS_MAX___dairy_guidelines_port__categorical______main_coefs","education_levelHigh (ISCED 5-8)",1.781,0.493,3.614,2814.4,"<0.001",0.814,2.747
"HGS_MAX___dairy_guidelines_port__categorical______main_coefs","smoking_statusFormer",0.506,0.285,1.774,2807.4,"0.076",-0.053,1.065
"HGS_MAX___dairy_guidelines_port__categorical______main_coefs","smoking_statusCurrent",0.641,0.382,1.678,2735,"0.093",-0.108,1.389
"HGS_MAX___dairy_guidelines_port__categorical______main_coefs","pa_levels_tertile_f1Medium",-0.292,0.338,-0.865,1090.6,"0.387",-0.955,0.371
"HGS_MAX___dairy_guidelines_port__categorical______main_coefs","pa_levels_tertile_f1High",0.025,0.375,0.068,589.1,"0.946",-0.711,0.761
"HGS_MAX___dairy_guidelines_port__categorical______main_coefs","diabetes_statusDiabetes",-0.251,0.449,-0.559,2101.5,"0.576",-1.132,0.63
"HGS_MAX___dairy_guidelines_port__categorical______main_coefs","sumtot1_scaled",0.352,0.194,1.817,361,"0.07",-0.029,0.733
"HGS_MAX___dairy_quartile_baseline__categorical______main_coefs","(Intercept)",22.594,0.502,44.989,1815.2,"<0.001",21.609,23.579
"HGS_MAX___dairy_quartile_baseline__categorical______main_coefs","dairy_quartile_baselineQ2",0.441,0.29,1.523,2956.8,"0.128",-0.127,1.009
"HGS_MAX___dairy_quartile_baseline__categorical______main_coefs","dairy_quartile_baselineQ3",0.974,0.32,3.047,2884.5,"0.002",0.347,1.6
"HGS_MAX___dairy_quartile_baseline__categorical______main_coefs","dairy_quartile_baselineQ4",0.529,0.353,1.499,2684.1,"0.134",-0.163,1.222
"HGS_MAX___dairy_quartile_baseline__categorical______main_coefs","time_since_baseline",-0.148,0.022,-6.598,2414.7,"<0.001",-0.192,-0.104
"HGS_MAX___dairy_quartile_baseline__categorical______main_coefs","age_at_baseline_scaled",-2.921,0.189,-15.474,2977.6,"<0.001",-3.292,-2.551
"HGS_MAX___dairy_quartile_baseline__categorical______main_coefs","BMI_categoryUnderweight",-1.664,0.765,-2.174,2830.8,"0.03",-3.164,-0.163
"HGS_MAX___dairy_quartile_baseline__categorical______main_coefs","BMI_categoryOverweight",0.673,0.247,2.725,2028.9,"0.006",0.189,1.157
"HGS_MAX___dairy_quartile_baseline__categorical______main_coefs","BMI_categoryObese",0.139,0.351,0.398,2471.3,"0.691",-0.548,0.827
"HGS_MAX___dairy_quartile_baseline__categorical______main_coefs","education_levelMedium (ISCED 3-4)",0.935,0.364,2.571,2748.6,"0.01",0.222,1.647
"HGS_MAX___dairy_quartile_baseline__categorical______main_coefs","education_levelHigh (ISCED 5-8)",1.772,0.492,3.603,2813.9,"<0.001",0.808,2.737
"HGS_MAX___dairy_quartile_baseline__categorical______main_coefs","smoking_statusFormer",0.534,0.284,1.879,2813,"0.06",-0.023,1.092
"HGS_MAX___dairy_quartile_baseline__categorical______main_coefs","smoking_statusCurrent",0.716,0.382,1.877,2728.9,"0.061",-0.032,1.465
"HGS_MAX___dairy_quartile_baseline__categorical______main_coefs","pa_levels_tertile_f1Medium",-0.301,0.337,-0.894,1106.5,"0.371",-0.962,0.36
"HGS_MAX___dairy_quartile_baseline__categorical______main_coefs","pa_levels_tertile_f1High",-0.004,0.373,-0.01,618.5,"0.992",-0.737,0.73
"HGS_MAX___dairy_quartile_baseline__categorical______main_coefs","diabetes_statusDiabetes",-0.258,0.448,-0.575,2104.6,"0.565",-1.137,0.621
"HGS_MAX___dairy_quartile_baseline__categorical______main_coefs","sumtot1_scaled",0.289,0.196,1.475,376.2,"0.141",-0.096,0.675
"HGS_MAX___fermented_100g__linear______main_coefs","(Intercept)",23.049,0.463,49.743,1662.5,"<0.001",22.14,23.958
"HGS_MAX___fermented_100g__linear______main_coefs","fermented_100g",0.216,0.096,2.244,2067.9,"0.025",0.027,0.405
"HGS_MAX___fermented_100g__linear______main_coefs","time_since_baseline",-0.144,0.022,-6.427,2416.1,"<0.001",-0.187,-0.1
"HGS_MAX___fermented_100g__linear______main_coefs","age_at_baseline_scaled",-2.922,0.189,-15.491,2986.5,"<0.001",-3.292,-2.552
"HGS_MAX___fermented_100g__linear______main_coefs","BMI_categoryUnderweight",-1.68,0.766,-2.195,2831.6,"0.028",-3.181,-0.179
"HGS_MAX___fermented_100g__linear______main_coefs","BMI_categoryOverweight",0.667,0.247,2.701,2027.9,"0.007",0.183,1.151
"HGS_MAX___fermented_100g__linear______main_coefs","BMI_categoryObese",0.137,0.351,0.39,2441.5,"0.696",-0.551,0.825
"HGS_MAX___fermented_100g__linear______main_coefs","education_levelMedium (ISCED 3-4)",0.943,0.363,2.595,2741.2,"0.01",0.23,1.655
"HGS_MAX___fermented_100g__linear______main_coefs","education_levelHigh (ISCED 5-8)",1.793,0.492,3.647,2814,"<0.001",0.829,2.757
"HGS_MAX___fermented_100g__linear______main_coefs","smoking_statusFormer",0.47,0.285,1.652,2836.9,"0.099",-0.088,1.028
"HGS_MAX___fermented_100g__linear______main_coefs","smoking_statusCurrent",0.627,0.381,1.646,2735.6,"0.1",-0.12,1.374
"HGS_MAX___fermented_100g__linear______main_coefs","pa_levels_tertile_f1Medium",-0.292,0.337,-0.865,1080.6,"0.387",-0.953,0.37
"HGS_MAX___fermented_100g__linear______main_coefs","pa_levels_tertile_f1High",-0.009,0.373,-0.024,610.3,"0.981",-0.742,0.724
