"exposure_model","term","estimate","std_error","statistic","df","p_value","conf_low","conf_high"
"ALM_HT2_harmonised___dairy_guidelines_port__categorical______main_coefs","(Intercept)",6.193,0.056,110.874,2091.2,"<0.001",6.083,6.302
"ALM_HT2_harmonised___dairy_guidelines_port__categorical______main_coefs","dairy_guidelines_port>= 2 servings/day",0.02,0.022,0.905,599.9,"0.366",-0.023,0.063
"ALM_HT2_harmonised___dairy_guidelines_port__categorical______main_coefs","time_since_baseline",-0.051,0.002,-27.565,250.2,"<0.001",-0.054,-0.047
"ALM_HT2_harmonised___dairy_guidelines_port__categorical______main_coefs","age_at_baseline_scaled",-0.128,0.024,-5.358,2890.9,"<0.001",-0.174,-0.081
"ALM_HT2_harmonised___dairy_guidelines_port__categorical______main_coefs","BMI_categoryUnderweight",-0.334,0.067,-4.96,2925.6,"<0.001",-0.467,-0.202
"ALM_HT2_harmonised___dairy_guidelines_port__categorical______main_coefs","BMI_categoryOverweight",0.435,0.023,18.761,804.9,"<0.001",0.389,0.48
"ALM_HT2_harmonised___dairy_guidelines_port__categorical______main_coefs","BMI_categoryObese",0.962,0.037,25.886,329.7,"<0.001",0.889,1.035
"ALM_HT2_harmonised___dairy_guidelines_port__categorical______main_coefs","education_levelMedium (ISCED 3-4)",-0.032,0.045,-0.708,3003.1,"0.479",-0.121,0.057
"ALM_HT2_harmonised___dairy_guidelines_port__categorical______main_coefs","education_levelHigh (ISCED 5-8)",-0.122,0.062,-1.982,2951.1,"0.048",-0.243,-0.001
"ALM_HT2_harmonised___dairy_guidelines_port__categorical______main_coefs","smoking_statusFormer",0.066,0.035,1.9,3019.7,"0.057",-0.002,0.135
"ALM_HT2_harmonised___dairy_guidelines_port__categorical______main_coefs","smoking_statusCurrent",-0.036,0.043,-0.85,2221.9,"0.395",-0.12,0.047
"ALM_HT2_harmonised___dairy_guidelines_port__categorical______main_coefs","pa_levels_tertile_f1Medium",-0.008,0.044,-0.174,682.9,"0.862",-0.093,0.078
"ALM_HT2_harmonised___dairy_guidelines_port__categorical______main_coefs","pa_levels_tertile_f1High",0.103,0.046,2.222,834.5,"0.027",0.012,0.194
"ALM_HT2_harmonised___dairy_guidelines_port__categorical______main_coefs","diabetes_statusDiabetes",0.082,0.04,2.053,1098.1,"0.04",0.004,0.161
"ALM_HT2_harmonised___dairy_guidelines_port__categorical______main_coefs","sumtot1_scaled",-0.029,0.016,-1.859,281.9,"0.064",-0.061,0.002
"ALM_HT2_harmonised___dairy_quartile_baseline__categorical______main_coefs","(Intercept)",6.167,0.059,104.645,1819,"<0.001",6.051,6.283
"ALM_HT2_harmonised___dairy_quartile_baseline__categorical______main_coefs","dairy_quartile_baselineQ2",0.013,0.026,0.49,937.8,"0.625",-0.039,0.065
"ALM_HT2_harmonised___dairy_quartile_baseline__categorical______main_coefs","dairy_quartile_baselineQ3",0.041,0.03,1.357,1074.6,"0.175",-0.018,0.101
