"exposure_model","term","estimate","std_error","statistic","df","p_value","conf_low","conf_high"
"gait_speed___dairy_guidelines_port_lag__categorical______main_coefs","(Intercept)",1.14,0.029,38.937,1390.1,"<0.001",1.083,1.198
"gait_speed___dairy_guidelines_port_lag__categorical______main_coefs","dairy_guidelines_port_lag>= 2 servings/day",0.005,0.015,0.348,397.1,"0.728",-0.024,0.034
"gait_speed___dairy_guidelines_port_lag__categorical______main_coefs","time_since_baseline",-0.003,0.002,-1.225,1461.2,"0.221",-0.007,0.002
"gait_speed___dairy_guidelines_port_lag__categorical______main_coefs","age_at_baseline_scaled_lag",-0.122,0.008,-14.439,1564.9,"<0.001",-0.139,-0.105
"gait_speed___dairy_guidelines_port_lag__categorical______main_coefs","BMI_category_lagUnderweight",-0.018,0.033,-0.555,1099.7,"0.579",-0.082,0.046
"gait_speed___dairy_guidelines_port_lag__categorical______main_coefs","BMI_category_lagOverweight",-0.062,0.011,-5.676,1573.6,"<0.001",-0.083,-0.041
"gait_speed___dairy_guidelines_port_lag__categorical______main_coefs","BMI_category_lagObese",-0.119,0.016,-7.651,1550.6,"<0.001",-0.15,-0.088
"gait_speed___dairy_guidelines_port_lag__categorical______main_coefs","education_level_lagMedium (ISCED 3-4)",0.028,0.017,1.694,1479.9,"0.09",-0.004,0.061
"gait_speed___dairy_guidelines_port_lag__categorical______main_coefs","education_level_lagHigh (ISCED 5-8)",0.057,0.021,2.746,1535.2,"0.006",0.016,0.098
"gait_speed___dairy_guidelines_port_lag__categorical______main_coefs","smoking_status_lagFormer",0.004,0.012,0.356,1453.5,"0.722",-0.019,0.027
"gait_speed___dairy_guidelines_port_lag__categorical______main_coefs","smoking_status_lagCurrent",-0.031,0.017,-1.832,1517.4,"0.067",-0.064,0.002
"gait_speed___dairy_guidelines_port_lag__categorical______main_coefs","pa_levels_tertile_f1_lagMedium",0.006,0.014,0.399,621.1,"0.69",-0.022,0.034
"gait_speed___dairy_guidelines_port_lag__categorical______main_coefs","pa_levels_tertile_f1_lagHigh",0.018,0.015,1.195,589.2,"0.233",-0.012,0.048
"gait_speed___dairy_guidelines_port_lag__categorical______main_coefs","diabetes_status_lagDiabetes",-0.075,0.022,-3.466,1516.5,"<0.001",-0.118,-0.033
"gait_speed___dairy_quartile_baseline_lag__categorical______main_coefs","(Intercept)",1.134,0.03,37.26,1398.3,"<0.001",1.074,1.194
"gait_speed___dairy_quartile_baseline_lag__categorical______main_coefs","dairy_quartile_baseline_lagQ2",0.012,0.014,0.904,1519.7,"0.366",-0.015,0.04
"gait_speed___dairy_quartile_baseline_lag__categorical______main_coefs","dairy_quartile_baseline_lagQ3",0.012,0.015,0.81,1527.8,"0.418",-0.017,0.041
"gait_speed___dairy_quartile_baseline_lag__categorical______main_coefs","dairy_quartile_baseline_lagQ4",0.006,0.016,0.408,1500.3,"0.683",-0.024,0.037
"gait_speed___dairy_quartile_baseline_lag__categorical______main_coefs","time_since_baseline",-0.003,0.002,-1.281,1443.3,"0.2",-0.008,0.002
"gait_speed___dairy_quartile_baseline_lag__categorical______main_coefs","age_at_baseline_scaled_lag",-0.122,0.008,-14.421,1568.4,"<0.001",-0.138,-0.105
