model,term,HR,CI_low,CI_high,p.value,HR_CI
unadjusted,dairy_exposureQ2,0.9716,0.3846,2.4547,0.9504,0.9716 (0.3846–2.4547)
unadjusted,dairy_exposureQ3,1.2445,0.5117,3.0264,0.6224,1.2445 (0.5117–3.0264)
unadjusted,dairy_exposureQ4,1.7656,0.7752,4.0213,0.1709,1.7656 (0.7752–4.0213)
adjusted,dairy_exposureQ2,0.8075,0.3119,2.0908,0.6515,0.8075 (0.3119–2.0908)
adjusted,dairy_exposureQ3,0.9274,0.3731,2.3054,0.8677,0.9274 (0.3731–2.3054)
adjusted,dairy_exposureQ4,1.1658,0.4977,2.7305,0.717,1.1658 (0.4977–2.7305)
adjusted,BMI,0.711,0.6352,0.7957,0,0.711 (0.6352–0.7957)
adjusted,education_levelMedium (ISCED 3-4),0.8996,0.3896,2.0769,0.7991,0.8996 (0.3896–2.0769)
adjusted,education_levelHigh (ISCED 5-8),0.9301,0.2979,2.9038,0.898,0.9301 (0.2979–2.9038)
adjusted,smoking_statusFormer,0.9,0.48,1.6875,0.7359,0.9 (0.48–1.6875)
adjusted,smoking_statusCurrent,0.7573,0.2754,2.0828,0.5806,0.7573 (0.2754–2.0828)
adjusted,mvpa_min_day_f1,0.9989,0.9957,1.002,0.4629,0.9989 (0.9957–1.002)
adjusted,diabetes_statusDiabetes,1.6095,0.3522,7.3561,0.5296,1.6095 (0.3522–7.3561)
