model,term,HR,CI_low,CI_high,p.value,HR_CI
unadjusted,"splines::ns(dairy_exposure, df = 3)1",7.3525,0.7188,75.2094,0.0908,7.3525 (0.7188–75.2094)
unadjusted,"splines::ns(dairy_exposure, df = 3)2",0.5154,0.002,135.5702,0.8117,0.5154 (0.002–135.5702)
unadjusted,"splines::ns(dairy_exposure, df = 3)3",0.0713,0,754.097,0.5686,0.0713 (0–754.097)
adjusted,"splines::ns(dairy_exposure, df = 3)1",5.251,0.4258,64.7627,0.1891,5.251 (0.4258–64.7627)
adjusted,"splines::ns(dairy_exposure, df = 3)2",0.0743,2e-4,26.5345,0.3759,0.0743 (2e-04–26.5345)
adjusted,"splines::ns(dairy_exposure, df = 3)3",0.0055,0,137.0331,0.3041,0.0055 (0–137.0331)
adjusted,BMI,0.7096,0.6335,0.7948,0,0.7096 (0.6335–0.7948)
adjusted,education_levelMedium (ISCED 3-4),0.8776,0.3796,2.0289,0.754,0.8776 (0.3796–2.0289)
adjusted,education_levelHigh (ISCED 5-8),0.9002,0.2895,2.7992,0.8521,0.9002 (0.2895–2.7992)
adjusted,smoking_statusFormer,0.8946,0.4771,1.6775,0.7216,0.8946 (0.4771–1.6775)
adjusted,smoking_statusCurrent,0.7962,0.2881,2.2005,0.6518,0.7962 (0.2881–2.2005)
adjusted,mvpa_min_day_f1,0.9989,0.9958,1.0021,0.4956,0.9989 (0.9958–1.0021)
adjusted,diabetes_statusDiabetes,1.5478,0.338,7.0883,0.5643,1.5478 (0.338–7.0883)
