"id","title","status","source","dest_file"
"Figure01","Overview_of_study_timeline_and_measurements","manual","NA",NA
"Figure02","Flow_diagram_of_participant_selection","exported","03_outputs/descriptives/consort_flow.png","Figure02_Flow_diagram_of_participant_selection.png"
"Figure03","Days_between_matched_CoLaus_OsteoLaus_exam_dates_by_visit","exported","03_outputs/descriptives/visits/mice_timing_violin.png","Figure03_Days_between_matched_CoLaus_OsteoLaus_exam_dates_by_visit.png"
"Figure04","Missing_data_before_and_after_imputation","exported","03_outputs/descriptives/missingness/missing_comparison.png","Figure04_Missing_data_before_and_after_imputation.png"
"Figure05","Stability_of_dairy_intake_quartile_membership","exported","03_outputs/descriptives/variables/mice/alluvial_dairy_quartile_baseline.png","Figure05_Stability_of_dairy_intake_quartile_membership.png"
"Figure06","Mean_total_dairy_intake_by_age","exported","03_outputs/descriptives/age_trajectories/mice/trajectory_dairy_total_gday_cumavg.png","Figure06_Mean_total_dairy_intake_by_age.png"
"Figure07","Mean_handgrip_strength_by_age","exported","03_outputs/descriptives/age_trajectories/mice/trajectory_HGS_MAX.png","Figure07_Mean_handgrip_strength_by_age.png"
"Figure08","Mean_gait_speed_by_age","exported","03_outputs/descriptives/age_trajectories/mice/trajectory_gait_speed.png","Figure08_Mean_gait_speed_by_age.png"
"Figure09","Mean_appendicular_lean_mass_index_by_age","exported","03_outputs/descriptives/age_trajectories/mice/trajectory_ALM_HT2_harmonised.png","Figure09_Mean_appendicular_lean_mass_index_by_age.png"
"Figure10","Cumulative_dairy_intake_and_handgrip_strength_by_visit","exported","03_outputs/descriptives/variables/mice/scatter_hgs_HGS_MAX vs dairy_total_gday_cumavg.png","Figure10_Cumulative_dairy_intake_and_handgrip_strength_by_visit.png"
"Figure11","Cumulative_dairy_intake_and_ALMI_by_visit","exported","03_outputs/descriptives/variables/mice/scatter_alm_ALM_HT2_harmonised vs dairy_total_gday_cumavg.png","Figure11_Cumulative_dairy_intake_and_ALMI_by_visit.png"
"Figure12","Cumulative_dairy_intake_and_gait_speed_by_visit","exported","03_outputs/descriptives/variables/mice/scatter_gait_gait_speed vs dairy_total_gday_cumavg_lag.png","Figure12_Cumulative_dairy_intake_and_gait_speed_by_visit.png"
"FigureS01","DAG_handgrip_strength_analysis","manual","NA",NA
"FigureS02","DAG_ALMI_analysis","manual","NA",NA
"FigureS03","DAG_gait_speed_analysis","manual","NA",NA
"FigureS04","DAG_sarcopenia_incidence_analysis","manual","NA",NA
"FigureS05","Convergence_imputed_left_arm_lean_mass_baseline_OsteoLaus","manual","NA",NA
"FigureS06","Density_observed_vs_imputed_left_arm_lean_mass_baseline_OsteoLaus","manual","NA",NA
"FigureS07","Distribution_observed_vs_imputed_left_arm_lean_mass_baseline_OsteoLaus","manual","NA",NA
"FigureS08","Convergence_imputed_vigorous_PA_followup1_CoLaus","manual","NA",NA
"FigureS09","Density_observed_vs_imputed_vigorous_PA_followup1_CoLaus","manual","NA",NA
"FigureS10","Distribution_observed_vs_imputed_vigorous_PA_followup1_CoLaus","manual","NA",NA
